oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
532109200004278,45042151,2458204.9250627887,58204.421516199996,16.5843525,0.0153739834,0,zg,238.2336597,12.912081799999999,1.176,-0.00400000019,20180327421505,532,0x9,0x2,20.5599995,26.2481251,0.0373401567,-0.0418826826,2.16764474e-05,30,1.11699998,1
532109200004278,45044226,2458204.9458163721,58204.442268500003,16.4824982,0.0149551304,0,zg,238.23368629999999,12.9120773,0.312000006,-0.00600000005,20180327442222,532,0x9,0x2,20.5499992,26.2619362,0.0375008546,-0.0463952646,2.19829126e-05,30,1.08800006,1
532109200004278,45338722,2458207.8909470267,58207.387222199999,16.585743,0.0153800948,0,zg,238.23365759999999,12.9120907,0.628000021,-0.00200000009,20180330387211,532,0x9,0x2,20.1399994,26.2571011,0.0373048857,-0.0419014245,3.03364432e-05,30,1.18099999,1
532109200004278,45343128,2458207.9350121226,58207.431284699996,16.5365372,0.0151704308,0,zg,238.23369310000001,12.9121024,0.885999978,-0.0289999992,20180330431238,532,0x9,0x2,20.1200008,26.2647858,0.0383110829,-0.0318539776,3.23383902e-05,30,1.09099996,1
532109200004278,45640908,2458210.9129825621,58210.409085599997,16.6023293,0.015453795,0,zg,238.2336822,12.9120832,0.583000004,0.0250000004,20180402409074,532,0x9,0x2,19.7000008,26.1903343,0.0376954079,-0.0243298542,4.55061636e-05,30,1.11000001,1
532109200004278,45643119,2458210.9350902922,58210.431192099997,16.4394913,0.014794495,0,zg,238.23366669999999,12.9120937,0.358999997,-0.00300000003,20180402431192,532,0x9,0x2,19.9200001,26.2389088,0.03860512,-0.00743068196,3.98915072e-05,30,1.08399999,1
532109200004278,48130043,2458235.8053386793,58235.300439799998,16.2235756,0.0141189704,0,zg,238.2336775,12.9120791,0.560000002,0.0359999985,20180427300428,532,0x9,0x2,20.3500004,26.2331715,0.0377213731,-0.031220831,2.85756378e-05,30,1.21700001,1
532109200004278,48135538,2458235.8602821212,58235.355381900001,16.5918636,0.0154071106,0,zg,238.23368060000001,12.9121159,0.476999998,0.0250000004,20180427355370,532,0x9,0x2,20.0900002,26.2522068,0.0424503163,-0.0106558157,4.24280515e-05,30,1.09099996,1
532109200004278,48229335,2458236.7982785497,58236.293356499998,16.6412334,0.0156328622,0,zg,238.23368249999999,12.912101699999999,0.708000004,-0.0309999995,20180428293356,532,0x9,0x2,19.7099991,26.1790371,0.0415486991,-0.0311945099,5.55179904e-05,30,1.23399997,2
532109200004278,48329925,2458237.8042034563,58237.299259300002,16.5621185,0.0152777722,0,zg,238.2336688,12.912093199999999,0.611999989,-0.0359999985,20180429299248,532,0x9,0x2,19.3899994,26.1068325,0.0377206765,-0.0225069672,6.68208449e-05,30,1.20099998,2
532109200004278,49233562,2458246.8407047992,58246.335625,16.4078865,0.0146822771,0,zg,238.2336755,12.9121083,0.508000016,0.00100000005,20180508335625,532,0x9,0x2,21.4099998,26.234848,0.0278483573,-0.0331100039,1.02766717e-05,30,1.08200002,1
532109200004278,50133607,2458255.8411768735,58255.336076400003,16.2007332,0.0140592465,0,zg,238.23367469999999,12.9120762,0.319000006,0.0280000009,20180517336076,532,0x9,0x2,21.7900009,26.2449265,0.0255095046,-0.0562254228,8.50681499e-06,30,1.07799995,1
532109200004278,50429428,2458258.7993645607,58258.294282399998,16.497757,0.0150143802,0,zg,238.23369310000001,12.912104100000001,0.578999996,-0.0140000004,20180520294282,532,0x9,0x2,21.4500008,26.1830196,0.0300700255,-0.046491392,1.1757118e-05,30,1.08899999,1
532109200004278,51321596,2458267.7209137222,58267.215960599999,16.5653458,0.015291567,0,zg,238.23368239999999,12.9121044,0.172999993,-0.00899999961,20180529215949,532,0x9,0x2,19.5200005,26.1746063,0.0407715477,-0.0270470511,6.90606539e-05,30,1.20700002,1
532109200004278,51626967,2458270.7745599742,58270.269675900003,16.4081497,0.0146831935,0,zg,238.23368360000001,12.912086,0.386000007,0.0299999993,20180601269595,532,0x9,0x2,20.3799992,26.2033749,0.0381806903,-0.0272502154,2.95388872e-05,30,1.08299994,1
