,oid,expid,hjd,bjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,532109200004278,45042151,2458204.9250627887,58204.42485972101,16.5843525,0.0153739834,0,zg,238.2336597,12.9120818,1.176,-0.00400000019,20180327421505,532,0x9,0x2,20.5599995,26.2481251,0.0373401567,-0.0418826826,2.16764474e-05,30,1.11699998,1
1,532109200004278,45044226,2458204.945816372,58204.445613306365,16.4824982,0.0149551304,0,zg,238.2336863,12.9120773,0.312000006,-0.00600000005,20180327442222,532,0x9,0x2,20.5499992,26.2619362,0.0375008546,-0.0463952646,2.19829126e-05,30,1.08800006,1
2,532109200004278,45338722,2458207.8909470267,58207.39074396621,16.585743,0.0153800948,0,zg,238.2336576,12.9120907,0.628000021,-0.00200000009,20180330387211,532,0x9,0x2,20.1399994,26.2571011,0.0373048857,-0.0419014245,3.03364432e-05,30,1.18099999,1
3,532109200004278,45343128,2458207.9350121226,58207.43480906519,16.5365372,0.0151704308,0,zg,238.2336931,12.9121024,0.885999978,-0.0289999992,20180330431238,532,0x9,0x2,20.1200008,26.2647858,0.0383110829,-0.0318539776,3.23383902e-05,30,1.09099996,1
4,532109200004278,45640908,2458210.912982562,58210.41277951158,16.6023293,0.015453795,0,zg,238.2336822,12.9120832,0.583000004,0.0250000004,20180402409074,532,0x9,0x2,19.7000008,26.1903343,0.0376954079,-0.0243298542,4.55061636e-05,30,1.11000001,1
5,532109200004278,45643119,2458210.935090292,58210.43488724092,16.4394913,0.014794495,0,zg,238.2336667,12.9120937,0.358999997,-0.00300000003,20180402431192,532,0x9,0x2,19.9200001,26.2389088,0.03860512,-0.00743068196,3.98915072e-05,30,1.08399999,1
6,532109200004278,48130043,2458235.80533868,58235.30513570984,16.2235756,0.0141189704,0,zg,238.2336775,12.9120791,0.560000002,0.0359999985,20180427300428,532,0x9,0x2,20.3500004,26.2331715,0.0377213731,-0.031220831,2.85756378e-05,30,1.21700001,1
7,532109200004278,48135538,2458235.8602821208,58235.360079153535,16.5918636,0.0154071106,0,zg,238.2336806,12.9121159,0.476999998,0.0250000004,20180427355370,532,0x9,0x2,20.0900002,26.2522068,0.0424503163,-0.0106558157,4.24280515e-05,30,1.09099996,1
8,532109200004278,48229335,2458236.7982785497,58236.29807558516,16.6412334,0.0156328622,0,zg,238.2336825,12.9121017,0.708000004,-0.0309999995,20180428293356,532,0x9,0x2,19.7099991,26.1790371,0.0415486991,-0.0311945099,5.55179904e-05,30,1.23399997,2
9,532109200004278,48329925,2458237.8042034563,58237.30400049501,16.5621185,0.0152777722,0,zg,238.2336688,12.9120932,0.611999989,-0.0359999985,20180429299248,532,0x9,0x2,19.3899994,26.1068325,0.0377206765,-0.0225069672,6.68208449e-05,30,1.20099998,2
10,532109200004278,49233562,2458246.840704799,58246.34050187755,16.4078865,0.0146822771,0,zg,238.2336755,12.9121083,0.508000016,0.00100000005,20180508335625,532,0x9,0x2,21.4099998,26.234848,0.0278483573,-0.0331100039,1.02766717e-05,30,1.08200002,1
11,532109200004278,50133607,2458255.841176873,58255.34097399275,16.2007332,0.0140592465,0,zg,238.2336747,12.9120762,0.319000006,0.0280000009,20180517336076,532,0x9,0x2,21.7900009,26.2449265,0.0255095046,-0.0562254228,8.50681499e-06,30,1.07799995,1
12,532109200004278,50429428,2458258.7993645607,58258.2991616963,16.497757,0.0150143802,0,zg,238.2336931,12.9121041,0.578999996,-0.0140000004,20180520294282,532,0x9,0x2,21.4500008,26.1830196,0.0300700255,-0.046491392,1.1757118e-05,30,1.08899999,1
13,532109200004278,51321596,2458267.720913722,58267.22071090583,16.5653458,0.015291567,0,zg,238.2336824,12.9121044,0.172999993,-0.00899999961,20180529215949,532,0x9,0x2,19.5200005,26.1746063,0.0407715477,-0.0270470511,6.90606539e-05,30,1.20700002,1
14,532109200004278,51626967,2458270.774559974,58270.274357174065,16.4081497,0.0146831935,0,zg,238.2336836,12.912086,0.386000007,0.0299999993,20180601269595,532,0x9,0x2,20.3799992,26.2033749,0.0381806903,-0.0272502154,2.95388872e-05,30,1.08299994,1
15,532109200004278,52225322,2458276.7579420973,58276.25773933238,16.4182014,0.0147183714,0,zg,238.2336729,12.9120768,0.85799998,-0.0149999997,20180607253194,532,0x9,0x2,21.8500004,26.2465687,0.0228674542,-0.0678895786,6.79424966e-06,30,1.08299994,1
16,532109200004278,52829194,2458282.7964377995,58282.29623507214,16.4119492,0.0146964313,0,zg,238.2336967,12.9120864,0.700999975,0.0240000002,20180613291933,532,0x9,0x2,21.4099998,26.1279793,0.0276412535,-0.0409613512,1.02072072e-05,30,1.10500002,1
17,532109200004278,53420988,2458288.7141191857,58288.21391649803,16.5353966,0.0151657257,0,zg,238.2336823,12.91209,0.250999987,0.0120000001,20180619209850,532,0x9,0x2,21.2600002,26.2436886,0.0296898186,-0.0455348827,1.19334036e-05,30,1.09300005,1
18,532109200004278,54021012,2458294.714059251,58294.213856603776,16.3639736,0.0145342648,0,zg,238.2336953,12.9120792,0.463,0.0109999999,20180625210116,532,0x9,0x2,20.5100002,26.2448597,0.0369267911,-0.0284395292,2.59065109e-05,30,1.08099997,1
19,532109200004278,54725385,2458301.7573824646,58301.257179869935,16.2030716,0.0140652657,0,zg,238.2336883,12.9120714,1.245,-0.075000003,20180702253843,532,0x9,0x2,21.2199993,26.2240944,0.0288155377,-0.0773492232,1.10546207e-05,30,1.13100004,1
20,532109200004278,55021090,2458304.714247325,58304.21404475285,16.5169907,0.0150907822,0,zg,238.2336964,12.9120789,0.432999998,-0.0250000004,20180705210833,532,0x9,0x2,21.6200008,26.1827106,0.0262982845,-0.059104085,9.19799913e-06,30,1.08500004,1
21,532109200004278,55321114,2458307.7142958743,58307.21409332534,16.4504108,0.014834404,0,zg,238.2336838,12.9120683,0.85799998,-0.050999999,20180708211111,532,0x9,0x2,21.8199997,26.1153145,0.0255937595,-0.0623885989,8.62497018e-06,30,1.09200001,1
22,532109200004278,55825348,2458312.7562901573,58312.2560876483,16.6051521,0.0154664945,0,zg,238.2336875,12.9120594,0.839999974,0.0359999985,20180713253472,532,0x9,0x2,21.7399998,26.1085415,0.0256526303,-0.0598097369,8.56387123e-06,30,1.21700001,1
