5.526951724719999766e+04 1.697500000000000142e+01 3.400000000000000244e-02
5.536534453719999874e+04 1.635500000000000043e+01 2.599999999999999881e-02
5.527036386720000155e+04 1.668900000000000006e+01 5.899999999999999689e-02
5.501925448719999986e+04 1.718700000000000117e+01 4.000000000000000083e-02
5.501934276720000344e+04 1.641700000000000159e+01 3.699999999999999817e-02
5.503025083720000111e+04 1.645899999999999963e+01 1.049999999999999961e-01
5.504226586720000341e+04 1.696000000000000085e+01 3.300000000000000155e-02
5.500329152720000275e+04 1.703399999999999892e+01 3.400000000000000244e-02
5.500341977719999704e+04 1.706099999999999994e+01 3.500000000000000333e-02
5.497942749719999847e+04 1.678399999999999892e+01 2.900000000000000147e-02
5.497937749720000284e+04 1.658399999999999963e+01 2.900000000000000147e-02
5.538223210719999770e+04 1.669699999999999918e+01 2.699999999999999969e-02
5.538218873719999829e+04 1.731800000000000139e+01 2.900000000000000147e-02
5.538730592720000277e+04 1.666300000000000026e+01 1.260000000000000009e-01
5.497945356719999836e+04 1.720400000000000063e+01 3.099999999999999978e-02
5.497947407720000047e+04 1.715099999999999980e+01 3.099999999999999978e-02
5.497926120719999744e+04 1.637999999999999901e+01 2.900000000000000147e-02
5.538734956719999900e+04 1.656700000000000017e+01 1.260000000000000009e-01
5.537029683720000321e+04 1.637199999999999989e+01 2.699999999999999969e-02
5.537034012719999737e+04 1.715500000000000114e+01 3.099999999999999978e-02
5.537533882720000111e+04 1.663800000000000168e+01 2.900000000000000147e-02
5.537529286719999800e+04 1.718700000000000117e+01 3.099999999999999978e-02
5.536530115720000322e+04 1.707300000000000040e+01 2.699999999999999969e-02
5.527031997720000072e+04 1.720400000000000063e+01 6.199999999999999956e-02
