oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1694110100000370,58442258,2458338.9236332192,58338.422580999999,20.2167168,0.114179254,0,zg,22.416894500000001,38.703031199999998,0.755999982,0.0769999996,20180808422569,1694,0xa,0x1,21.2600002,26.1823845,0.0291783512,-0.0197526235,6.82302334e-06,30,1.09099996,2
1694110100000370,59039555,2458344.8971154257,58344.3955556,20.0141602,0.0994244814,0,zg,22.416875699999999,38.703015100000002,0.773999989,0.0160000008,20180814395532,1694,0xa,0x1,21.5799999,26.1578846,0.0251894314,-0.0356617868,5.12457063e-06,30,1.12,2
1694110100000370,59450736,2458349.0092624058,58348.507361099997,19.7459297,0.0821212232,0,zg,22.416960199999998,38.703006600000002,0.910000026,0.134000003,20180818507350,1694,0xa,0x1,21.0599995,26.2226505,0.0291746445,-0.0422298275,7.29776184e-06,30,1.01499999,2
1694110100000370,60935381,2458363.8568721949,58363.353819399999,19.8804111,0.090461649,0,zg,22.4168807,38.703055800000001,1.03699994,-0.158999994,20180902353808,1694,0xa,0x1,20.5,26.2190914,0.0371409319,-0.0269715227,1.42430308e-05,30,1.09300005,2
1694110100000370,61045091,2458364.954045977,58364.450914399997,19.7619553,0.0830793232,0,zg,22.4170029,38.703054000000002,0.574999988,0.0250000004,20180903450891,1694,0xa,0x1,20.7299995,26.2196236,0.0334719941,-0.0295927115,1.03256834e-05,30,1.00699997,2
1694110100000370,61142965,2458365.9328537988,58365.429652799998,19.9413815,0.0944660977,0,zg,22.416882399999999,38.702973800000002,0.800000012,-0.00700000022,20180904429653,1694,0xa,0x1,21.5200005,26.2710667,0.0262918863,-0.0541338883,5.47989339e-06,30,1.00199997,2
1694110100000370,61245870,2458366.9619767768,58366.458703700002,19.9459572,0.0947722346,0,zg,22.416870200000002,38.702998399999998,0.768999994,-0.0850000009,20180905458681,1694,0xa,0x1,21.4500008,26.2746143,0.0275873784,-0.0519236736,6.12027816e-06,30,1.01699996,2
1694110100000370,62929004,2458383.7943476685,58383.290046299997,20.0207253,0.0998811722,0,zg,22.4168944,38.703049800000002,0.563000023,-0.0149999997,20180922290035,1694,0xa,0x1,20.8400002,26.1809235,0.0294525512,-0.0368650854,8.19866e-06,30,1.11600006,2
1694110100000370,63140049,2458385.9049055544,58385.4004977,19.8103371,0.0860306621,0,zg,22.416969000000002,38.702925399999998,0.537,-0.136999995,20180924400475,1694,0xa,0x1,20.5499992,26.2643166,0.0313088521,-0.0450672172,1.10904239e-05,30,1.01199996,2
1694110100000370,63434576,2458388.8503110902,58388.345763899997,19.8938599,0.0913330317,0,zg,22.416934399999999,38.702936600000001,0.796999991,0.0989999995,20180927345752,1694,0xa,0x1,20.5900002,26.2542324,0.0326301381,-0.0384943485,1.15512485e-05,30,1.00699997,2
1694110100000370,63632269,2458390.8273313195,58390.322696800002,19.8203812,0.0866544619,0,zg,22.416854900000001,38.702979499999998,0.741999984,-0.0850000009,20180929322697,1694,0xa,0x1,21,26.2737484,0.0282227639,-0.0645542592,7.04687818e-06,30,1.02100003,2
1694110100000370,67626857,2458430.7737729107,58430.268576399998,19.9627457,0.0959017649,0,zg,22.416895400000001,38.702972099999997,0.740999997,0.0340000018,20181108268553,1694,0xa,0x1,21.9899998,26.2717056,0.024023667,-0.0690243617,4.52157337e-06,30,1.005,2
1694110100000370,68120517,2458435.7102714372,58435.205173599999,19.9679527,0.0962541997,0,zg,22.417293999999998,38.702963199999999,0.430000007,0.075000003,20181113205162,1694,0xa,0x1,20.4599991,26.2742062,0.0353055336,-0.0524456538,1.26962332e-05,30,1.01499999,2
1694110100000370,68218214,2458436.6872151098,58436.182141199999,19.8716354,0.0898966044,0,zg,22.416843799999999,38.703096500000001,1.39499998,0.185000002,20181114182106,1694,0xa,0x1,20.3899994,26.2738743,0.0368942805,-0.0434050523,1.47426572e-05,30,1.03900003,2
1694110100000370,68927081,2458443.7756684078,58443.270810200003,19.9861889,0.0974962562,0,zg,22.416908500000002,38.702938600000003,0.583000004,-0.273000002,20181121270810,1694,0xa,0x1,20.4500008,26.285408,0.0332446694,-0.0693582296,1.24191065e-05,30,1.04400003,2
1694110100000370,71822722,2458472.7305011661,58472.227222200003,19.7781258,0.0840559304,0,zg,22.4169248,38.702945900000003,0.741999984,-0.331999987,20181220227211,1694,0xa,0x1,20.0799999,26.2711906,0.0366231203,-0.0573939681,1.7713377e-05,30,1.12199998,2
1694110100000370,93449120,2458688.9909379468,58688.491203700003,20.0232639,0.100058191,0,zg,22.416849200000001,38.702921400000001,0.476999998,0.0649999976,20190724491192,1694,0xa,0x1,21.0400009,26.1714859,0.0280808378,-0.0667984188,6.84686665e-06,30,1.03999996,2
1694110100000370,93449165,2458688.9913893812,58688.491655099999,19.8394203,0.0878472701,0,zg,22.416929499999998,38.702900800000002,0.873000026,-0.0439999998,20190724491644,1694,0xa,0x1,21.1000004,26.1646404,0.0290932972,-0.0613775775,7.13602731e-06,30,1.03900003,3
1694110100000370,94349451,2458697.9950317852,58697.494513899997,19.9366875,0.0941529721,0,zg,22.416879099999999,38.702942100000001,0.763999999,0.0610000007,20190802494502,1694,0xa,0x1,21.5699997,26.1850014,0.0246516392,-0.0625243261,4.7524386e-06,30,1.00999999,2
1694110100000370,94349496,2458697.995483221,58697.4949653,20.024231,0.100125566,0,zg,22.4169059,38.702976399999997,0.36500001,0.023,20190802494965,1694,0xa,0x1,21.5799999,26.1805458,0.0256351735,-0.0607963055,5.23964036e-06,30,1.00999999,3
1694110100000370,95443305,2458708.9345129365,58708.433055599999,20.0206566,0.0998763517,0,zg,22.416778000000001,38.702842599999997,0.734000027,-0.187999994,20190813433044,1694,0xa,0x1,20.6200008,26.1918335,0.0322636031,-0.0251983609,1.05670288e-05,30,1.04499996,2
1694110100000370,95443350,2458708.9349642526,58708.433506900001,19.791853,0.0848927125,0,zg,22.416993099999999,38.703000000000003,0.859000027,-0.0719999969,20190813433507,1694,0xa,0x1,20.6100006,26.1960144,0.0336769894,-0.0177805666,1.14090435e-05,30,1.04400003,3
1694110100000370,96845538,2458722.9579754504,58722.455381899999,19.9203072,0.0930664092,0,zg,22.4169254,38.702956200000003,0.801999986,-0.0109999999,20190827455312,1694,0xa,0x1,21.8999996,26.1456757,0.0242509898,-0.0533138812,4.62345997e-06,30,1.00199997,2
1694110100000370,96845582,2458722.958415383,58722.455821800002,19.9659042,0.096115455,0,zg,22.416941999999999,38.702958000000002,1.14100003,0.172000006,20190827455822,1694,0xa,0x1,21.8799992,26.1462727,0.0245779175,-0.052712433,4.76577134e-06,30,1.00199997,3
1694110100000370,96943782,2458723.9404929164,58723.437824100001,19.9730835,0.096602425,0,zg,22.416961199999999,38.702967600000001,0.611999989,-0.0419999994,20190828437812,1694,0xa,0x1,21.9899998,26.1568947,0.0227962434,-0.0657566264,4.078448e-06,30,1.00399995,2
1694110100000370,97141701,2458725.9198322343,58725.417013899998,19.987112,0.0975594148,0,zg,22.416862299999998,38.702943699999999,0.906000018,0.171000004,20190830417002,1694,0xa,0x1,22.0400009,26.1844234,0.0238257274,-0.074743025,4.41474276e-06,30,1.01100004,2
1694110100000370,97143141,2458725.9342314131,58725.431411999998,20.0008049,0.0985003933,0,zg,22.416868300000001,38.702945700000001,0.809000015,-0.00400000019,20190830431238,1694,0xa,0x1,22.0499992,26.1941452,0.0233982597,-0.0849118084,4.3375444e-06,30,1.00399995,3
1694110100000370,97243559,2458726.9384844261,58726.435590300003,19.9386635,0.0942846611,0,zg,22.4168843,38.702949599999997,0.80400002,-0.0199999996,20190831435532,1694,0xa,0x1,21.9200001,26.1740189,0.0242841002,-0.0657620355,4.64373716e-06,30,1.00199997,2
1694110100000370,97243604,2458726.9389358559,58726.436041699999,19.9226494,0.0932211801,0,zg,22.416944999999998,38.702961199999997,0.593999982,-0.0439999998,20190831436042,1694,0xa,0x1,21.8500004,26.1690025,0.0238683242,-0.0570936874,4.48574247e-06,30,1.00199997,3
1694110100000370,97345258,2458727.9555499828,58727.452580999998,19.9800014,0.0970734507,0,zg,22.416892699999998,38.702934399999997,1.824,-0.0469999984,20190901452569,1694,0xa,0x1,21.8700008,26.1453228,0.0244137514,-0.0569311827,4.70057375e-06,30,1.005,2
1694110100000370,97345303,2458727.9560014154,58727.453032400001,19.9962807,0.0981886908,0,zg,22.416914200000001,38.702924299999999,0.703000009,-0.0320000015,20190901453032,1694,0xa,0x1,21.9400005,26.1536007,0.024230741,-0.0663189366,4.59448393e-06,30,1.005,3
1694110100000370,97841439,2458732.9177198284,58732.414398100002,20.0118637,0.0992651433,0,zg,22.4168403,38.702976499999998,0.703999996,-0.00700000022,20190906414398,1694,0xa,0x1,21.8299999,26.1398106,0.0273783449,-0.0638343394,5.86586202e-06,30,1.00300002,2
1694110100000370,97841484,2458732.9181712563,58732.414849499997,19.9943962,0.098059088,0,zg,22.416931399999999,38.702957699999999,0.896000028,0.112000003,20190906414850,1694,0xa,0x1,22.1000004,26.1393433,0.0259039328,-0.0689994246,5.26146277e-06,30,1.00300002,3
1694110100000370,97947045,2458733.9738453706,58733.470451399997,20.0308685,0.100589603,0,zg,22.4169242,38.7029614,1.36000001,-0.120999999,20190907470417,1694,0xa,0x1,21.6800003,26.175108,0.0255158991,-0.0705731139,5.19069363e-06,30,1.03600001,2
1694110100000370,97947091,2458733.9743084051,58733.470914400001,20.0847435,0.104412705,0,zg,22.416848300000002,38.702974300000001,0.855000019,-0.0689999983,20190907470903,1694,0xa,0x1,21.75,26.1669807,0.0250143763,-0.0609596446,4.95202812e-06,30,1.03600001,3
